Last Price,Open Price,Max,Min,Size,Change Persent,Class
18925.2,20113.9,20113.9,18191.8,2.82,0.0591,XRP
19311.9,18925.1,20361.2,18505.3,3.37,0.0204,XRP
19415.0,19311.9,20436.7,18937.3,2.17,0.0053,XRP
19068.7,19416.3,19933.9,18207.9,2.12,0.0178,XRP
19204.8,19068.8,19692.9,18703.3,1.72,0.0071,XRP
20809.8,19204.8,21038.1,19092.5,2.25,0.0836,XRP
21301.6,20809.4,21464.7,20065.8,2.62,0.0236,XRP
16795.2,21298.7,21360.4,15603.3,4.02,0.2116,XRP
16699.2,16803.9,17158.4,15834.0,1.58,0.0057,XRP
16456.5,16699.3,16785.6,15504.2,1.78,0.0145,XRP
16884.5,16456.4,17244.7,16013.5,1.79,0.026,XRP
17127.2,16884.8,17395.2,16715.3,1.73,0.0144,XRP
16777.1,17127.0,18351.8,16542.4,1.94,0.0204,XRP
16837.2,16777.0,17031.3,16331.2,1.35,0.0036,XRP
16537.4,16835.7,16964.0,16360.0,1.24,0.0178,XRP
16943.6,16537.5,17012.3,16499.7,1.31,0.0246,XRP
123.75,153.48,158.29,121.28,26.22,0.1937,XRP
123.02,123.75,130.3,112.79,23.75,0.0059,XRP
115.83,123.0,123.52,112.36,31.96,0.0585,XRP
110.68,115.83,116.24,101.6,38.12,0.0445,XRP
119.44,110.67,122.58,102.28,44.09,0.0791,XRP
122.87,119.44,126.17,116.42,41.65,0.0287,XRP
158.3,122.88,159.31,122.78,59.72,0.2884,XRP
132.76,158.31,165.79,128.15,88.08,0.1614,XRP
137.52,132.77,168.42,123.25,94.15,0.0359,XRP
141.15,137.52,143.95,129.14,78.47,0.0263,XRP
137.53,141.15,141.87,133.05,77.1,0.0256,XRP
142.65,137.53,145.85,132.36,81.55,0.0373,XRP
165.55,142.65,177.29,140.26,138.31,0.1605,XRP
163.19,165.58,185.54,158.93,72.32,0.0142,XRP
172.73,163.19,176.71,153.65,57.15,0.0584,XRP
159.41,172.89,175.92,151.73,71.77,0.0771,XRP
163.68,159.43,171.04,152.6,64.81,0.0268,XRP
192.27,163.67,204.72,159.56,81.71,0.1747,XRP
233.89,192.17,278.52,182.81,138.47,0.2165,XRP
250.68,233.87,263.05,231.89,80.76,0.0718,XRP
264.31,250.69,287.99,241.51,92.0,0.0544,XRP
243.42,264.26,272.64,235.35,58.74,0.079,XRP
267.75,243.43,271.61,227.0,51.83,0.0999,XRP
310.38,267.74,314.0,261.76,58.55,0.1592,XRP
318.48,310.39,364.89,279.82,75.19,0.0261,XRP
288.08,318.26,323.21,273.07,60.28,0.0955,XRP
269.16,288.11,317.94,262.85,65.42,0.0657,XRP
227.86,269.12,269.62,192.91,85.63,0.1534,XRP
206.62,227.83,228.76,202.3,57.79,0.0932,XRP
220.89,206.64,223.0,199.68,51.56,0.0691,XRP
